32768;0;9690;3202;3;10;6468;23076;51744;184608
51744;184608;9644;5121;3;10;7074;221174;56592;1769392
56592;1769392;32768;17171;0;10;26942;1769392;53884;3538784
53884;3538784;32768;1097;0;2;52095;3538784;52095;3538784
52095;3538784;32768;17180;0;13;24845;3538784;49690;7077568
49690;7077568;8556;0;13;14;12905;7114353;51620;14788
51620;14788;30645;19428;2;8;17592;18345;35184;36690
35184;36690;25131;12049;1;16;13978;44962;55912;179848
55912;179848;32768;20360;0;2;21246;179848;42492;359696
42492;359696;32768;20496;0;3;16084;359696;64336;1438784
64336;1438784;32768;2811;0;2;58936;1438784;58936;1438784
58936;1438784;31641;19954;1;5;21049;1440894;42098;63740
42098;63740;21416;17116;7;9;5498;78442;43984;627536
43984;627536;32768;16958;0;2;21408;627536;42816;1255072
0;0;0;0;0;0;21380;65208;42760;130416
42760;130416;32768;1620;0;3;40665;130416;40665;130416
40665;130416;13137;1717;1;4;14145;154874;56580;619496
56580;619496;32768;4500;0;4;48833;619496;48833;619496
48833;619496;32768;4360;0;4;42361;619496;42361;619496
42361;619496;32768;4224;0;4;36904;619496;36904;619496
36904;619496;32768;4092;0;4;32356;619496;64712;1238992
64712;1238992;32768;3965;0;4;57014;1238992;57014;1238992
57014;1238992;32768;3842;0;4;50342;1238992;50342;1238992
50342;1238992;32768;3722;0;4;44646;1238992;44646;1238992
44646;1238992;32768;3606;0;4;39762;1238992;39762;1238992
39762;1238992;32768;3494;0;4;35565;1238992;35565;1238992
35565;1238992;32768;3385;0;4;31965;1238992;63930;2477984
63930;2477984;32768;3280;0;4;57569;2477984;57569;2477984
57569;2477984;32768;3178;0;4;52069;2477984;52069;2477984
52069;2477984;32768;3079;0;4;47185;2477984;47185;2477984
47185;2477984;32768;2983;0;4;42941;2477984;42941;2477984
42941;2477984;32768;2890;0;4;39172;2477984;39172;2477984
39172;2477984;32768;2800;0;4;35871;2477984;35871;2477984
35871;2477984;32768;2713;0;4;32919;2477984;32919;2477984
32919;2477984;32768;2671;0;4;30283;2477984;60566;4955968
60566;4955968;32768;2630;0;4;55716;4955968;55716;4955968
55716;4955968;32768;2589;0;4;51364;4955968;51364;4955968
51364;4955968;32768;2549;0;4;47452;4955968;47452;4955968
47452;4955968;32768;13750;0;4;27645;4955968;55290;9911936
55290;9911936;13321;1612;1;4;19677;9944854;39354;32300
39354;32300;32768;2510;0;4;36359;32300;36359;32300
36359;32300;32768;2471;0;4;33649;32300;33649;32300
33649;32300;32768;2433;0;4;31148;32300;62296;64600
62296;64600;32768;2395;0;4;57789;64600;57789;64600
57789;64600;32768;2358;0;4;53727;64600;53727;64600
53727;64600;32768;2322;0;4;49953;64600;49953;64600
49953;64600;32768;2286;0;4;46529;64600;46529;64600
46529;64600;32768;2251;0;4;43350;64600;43350;64600
43350;64600;2216;153;1;4;2708;105065;43328;1681040
43328;1681040;32768;13928;0;4;24980;1681040;49960;3362080
49960;3362080;32768;2693;0;4;45853;3362080;45853;3362080
45853;3362080;32768;2651;0;4;42172;3362080;42172;3362080
42172;3362080;32768;2610;0;4;38880;3362080;38880;3362080
38880;3362080;32768;2590;0;4;35848;3362080;35848;3362080
35848;3362080;32768;2570;0;4;33036;3362080;33036;3362080
33036;3362080;32768;2550;0;4;30509;3362080;61018;6724160
61018;6724160;32768;2531;0;4;56365;6724160;56365;6724160
56365;6724160;13493;1514;1;4;20574;6757413;41148;14410
41148;14410;14095;1467;1;4;15844;37946;63376;151784
63376;151784;32768;2512;0;4;58548;151784;58548;151784
58548;151784;32768;2493;0;4;54204;151784;54204;151784
54204;151784;32768;2474;0;4;50183;151784;50183;151784
50183;151784;32768;2455;0;4;46447;151784;46447;151784
46447;151784;32768;2436;0;4;42996;151784;42996;151784
42996;151784;32768;2417;0;4;39895;151784;39895;151784
39895;151784;32768;14678;0;4;22136;151784;44272;303568
44272;303568;32768;2399;0;4;41078;303568;41078;303568
41078;303568;32768;2381;0;4;38106;303568;38106;303568
38106;303568;2363;134;1;4;2520;338998;40320;5423968
40320;5423968;32768;2600;0;4;37168;5423968;37168;5423968
37168;5423968;32768;2580;0;4;34256;5423968;34256;5423968
34256;5423968;32768;2560;0;4;31584;5423968;63168;34496
63168;34496;14220;1378;1;4;24727;70346;49454;140692
49454;140692;32768;14799;0;4;27151;140692;54302;281384
54302;281384;32768;2540;0;4;50156;281384;50156;281384
50156;281384;32768;2521;0;4;46342;281384;46342;281384
46342;281384;32768;14337;0;4;26058;281384;52116;562768
52116;562768;13889;1254;1;4;20101;592847;40202;1185694
40202;1185694;2502;128;1;4;2908;1222823;46528;35440
46528;35440;32768;18908;0;4;19819;35440;39638;70880
39638;70880;32768;14478;0;4;22224;70880;44448;141760
44448;141760;14026;1178;1;4;17390;167253;34780;334506
34780;334506;32768;2738;0;4;31933;334506;63866;669012
63866;669012;32768;14611;0;4;35468;669012;35468;669012
35468;669012;5994;635;1;4;5800;698051;46400;5584408
46400;5584408;14924;3204;1;4;16565;5609710;33130;12764
33130;12764;32768;15481;0;4;17574;12764;35148;25528
35148;25528;3007;940;2;4;2196;57517;35136;920272
35136;920272;3597;0;3;4;3840;951568;61440;20736
61440;20736;32768;13462;0;4;36228;20736;36228;20736
36228;20736;32768;15553;0;4;19085;20736;38170;41472
38170;41472;32768;21443;0;4;13201;41472;52804;165888
52804;165888;6292;0;3;4;10098;208594;40392;834376
