23076;6468;0;184608;51744
221174;7074;3;1769392;56592
1769392;26942;6;3538784;53884
3538784;52095;7;3538784;52095
3538784;24845;7;7077568;49690
7114353;12905;8;14788;51620
18345;17592;2;36690;35184
44962;13978;3;179848;55912
179848;21246;5;359696;42492
359696;16084;6;1438784;64336
1438784;58936;8;1438784;58936
1440894;21049;8;63740;42098
78442;5498;1;627536;43984
627536;21408;4;1255072;42816
1255072;21436;5;2510144;42872
2531636;21380;6;5063272;42760
5084652;21380;7;10169304;42760
10190684;21380;8;65208;42760
65208;21380;1;130416;42760
130416;40665;2;130416;40665
154874;14145;2;619496;56580
619496;48833;4;619496;48833
619496;42361;4;619496;42361
619496;36904;4;619496;36904
619496;32356;4;1238992;64712
1238992;57014;5;1238992;57014
1238992;50342;5;1238992;50342
1238992;44646;5;1238992;44646
1238992;39762;5;1238992;39762
1238992;35565;5;1238992;35565
1238992;31965;5;2477984;63930
2477984;57569;6;2477984;57569
2477984;52069;6;2477984;52069
2477984;47185;6;2477984;47185
2477984;42941;6;2477984;42941
2477984;39172;6;2477984;39172
2477984;35871;6;2477984;35871
2477984;32919;6;2477984;32919
2477984;30283;6;4955968;60566
4955968;55716;7;4955968;55716
4955968;51364;7;4955968;51364
4955968;47452;7;4955968;47452
4955968;27645;7;9911936;55290
9944854;19677;8;32300;39354
32300;36359;1;32300;36359
32300;33649;1;32300;33649
32300;31148;1;64600;62296
64600;57789;2;64600;57789
64600;53727;2;64600;53727
64600;49953;2;64600;49953
64600;46529;2;64600;46529
64600;43350;2;64600;43350
105065;2708;2;1681040;43328
1681040;24980;6;3362080;49960
3362080;45853;7;3362080;45853
3362080;42172;7;3362080;42172
3362080;38880;7;3362080;38880
3362080;35848;7;3362080;35848
3362080;33036;7;3362080;33036
3362080;30509;7;6724160;61018
6724160;56365;8;6724160;56365
6757413;20574;8;14410;41148
37946;15844;1;151784;63376
151784;58548;3;151784;58548
151784;54204;3;151784;54204
151784;50183;3;151784;50183
151784;46447;3;151784;46447
151784;42996;3;151784;42996
151784;39895;3;151784;39895
151784;22136;3;303568;44272
303568;41078;4;303568;41078
303568;38106;4;303568;38106
338998;2520;4;5423968;40320
5423968;37168;8;5423968;37168
5423968;34256;8;5423968;34256
5423968;31584;8;34496;63168
70346;24727;1;140692;49454
140692;27151;2;281384;54302
281384;50156;3;281384;50156
281384;46342;3;281384;46342
281384;26058;3;562768;52116
592847;20101;4;1185694;40202
1222823;2908;5;35440;46528
35440;19819;1;70880;39638
70880;22224;2;141760;44448
167253;17390;3;334506;34780
334506;31933;4;669012;63866
669012;35468;5;669012;35468
698051;5800;5;5584408;46400
5609710;16565;8;12764;33130
12764;17574;1;25528;35148
57517;2196;2;920272;35136
951568;3840;6;20736;61440
20736;36228;2;20736;36228
20736;19085;2;41472;38170
41472;13201;3;165888;52804
208594;10098;5;834376;40392
857804;4714;7;46688;37712
68079;16321;2;272316;65284
314774;22826;4;629548;45652
