9690;3202;3;10;184608;51744
9644;5121;3;10;1769392;56592
32768;17171;0;10;3538784;53884
32768;1097;0;2;3538784;52095
32768;17180;0;13;7077568;49690
8556;0;13;14;14788;51620
30645;19428;2;8;36690;35184
25131;12049;1;16;179848;55912
32768;20360;0;2;359696;42492
32768;20496;0;3;1438784;64336
32768;2811;0;2;1438784;58936
31641;19954;1;5;63740;42098
21416;17116;7;9;627536;43984
32768;16958;0;2;1255072;42816
32768;1620;0;3;2510144;42872
13137;1717;1;4;5063272;42760
32768;4500;0;4;10169304;42760
32768;4360;0;4;65208;42760
32768;4224;0;4;130416;42760
32768;4092;0;4;130416;40665
32768;3965;0;4;619496;56580
32768;3842;0;4;619496;48833
32768;3722;0;4;619496;42361
32768;3606;0;4;619496;36904
32768;3494;0;4;1238992;64712
32768;3385;0;4;1238992;57014
32768;3280;0;4;1238992;50342
32768;3178;0;4;1238992;44646
32768;3079;0;4;1238992;39762
32768;2983;0;4;1238992;35565
32768;2890;0;4;2477984;63930
32768;2800;0;4;2477984;57569
32768;2713;0;4;2477984;52069
32768;2671;0;4;2477984;47185
32768;2630;0;4;2477984;42941
32768;2589;0;4;2477984;39172
32768;2549;0;4;2477984;35871
32768;13750;0;4;2477984;32919
13321;1612;1;4;4955968;60566
32768;2510;0;4;4955968;55716
32768;2471;0;4;4955968;51364
32768;2433;0;4;4955968;47452
32768;2395;0;4;9911936;55290
32768;2358;0;4;32300;39354
32768;2322;0;4;32300;36359
32768;2286;0;4;32300;33649
32768;2251;0;4;64600;62296
2216;153;1;4;64600;57789
32768;13928;0;4;64600;53727
32768;2693;0;4;64600;49953
32768;2651;0;4;64600;46529
32768;2610;0;4;64600;43350
32768;2590;0;4;1681040;43328
32768;2570;0;4;3362080;49960
32768;2550;0;4;3362080;45853
32768;2531;0;4;3362080;42172
13493;1514;1;4;3362080;38880
14095;1467;1;4;3362080;35848
32768;2512;0;4;3362080;33036
32768;2493;0;4;6724160;61018
32768;2474;0;4;6724160;56365
32768;2455;0;4;14410;41148
32768;2436;0;4;151784;63376
32768;2417;0;4;151784;58548
32768;14678;0;4;151784;54204
32768;2399;0;4;151784;50183
32768;2381;0;4;151784;46447
2363;134;1;4;151784;42996
32768;2600;0;4;151784;39895
32768;2580;0;4;303568;44272
32768;2560;0;4;303568;41078
14220;1378;1;4;303568;38106
32768;14799;0;4;5423968;40320
32768;2540;0;4;5423968;37168
32768;2521;0;4;5423968;34256
32768;14337;0;4;34496;63168
13889;1254;1;4;140692;49454
2502;128;1;4;281384;54302
32768;18908;0;4;281384;50156
32768;14478;0;4;281384;46342
14026;1178;1;4;562768;52116
32768;2738;0;4;1185694;40202
32768;14611;0;4;35440;46528
5994;635;1;4;70880;39638
14924;3204;1;4;141760;44448
32768;15481;0;4;334506;34780
3007;940;2;4;669012;63866
3597;0;3;4;669012;35468
32768;13462;0;4;5584408;46400
32768;15553;0;4;12764;33130
32768;21443;0;4;25528;35148
6292;0;3;4;920272;35136
13857;10037;2;4;20736;61440
14236;0;3;4;20736;36228
11479;0;3;4;41472;38170
12144;0;3;4;165888;52804
12788;0;3;4;834376;40392
23168;17225;1;4;46688;37712
19060;0;3;4;272316;65284
