0010010111011010;0000110010000010;0011;01010;000000101101000100100000;1100101000100000;
0010010110101100;0001010000000001;0011;01010;000110101111111110110000;1101110100010000;
1000000000000000;0100001100010011;0000;01010;001101011111111101100000;1101001001111100;
1000000000000000;0000010001001001;0000;00010;001101011111111101100000;1100101101111111;
1000000000000000;0100001100011100;0000;01101;011010111111111011000000;1100001000011010;
0010000101101100;0000000000000000;1101;01110;000000000011100111000100;1100100110100100;
0111011110110101;0100101111100100;0010;01000;000000001000111101010010;1000100101110000;
0110001000101011;0010111100010001;0001;10000;000000101011111010001000;1101101001101000;
1000000000000000;0100111110001000;0000;00010;000001010111110100010000;1010010111111100;
1000000000000000;0101000000010000;0000;00011;000101011111010001000000;1111101101010000;
